year,serial,pernum,winning_model_p,winning_model_high_recall
2011,761209,2,0.16982672061119983,0
2018,464444,1,0.1836030900207987,0
2016,319093,1,0.25068889773713354,0
2014,576288,1,0.1344216038631799,0
2010,272798,1,0.1712418083927116,0
2019,183680,1,0.12112284597177042,0
2019,677550,1,0.1445314083103925,0
2009,121504,1,0.20643548855198018,0
2012,93549,3,0.22715003198718747,0
2009,1161178,1,0.3397524518445199,1
2016,204582,2,0.16791414316206574,0
2017,93551,1,0.3346658005107706,1
2018,163782,1,0.1281129198742326,0
2016,1237998,2,0.108109526039453,0
2013,437348,2,0.12283437126543996,0
2018,856699,1,0.40354941856377596,1
2014,259823,1,0.21688681566818308,0
2019,1220321,1,0.12339927089780725,0
2013,838920,1,0.16352076700892215,0
2010,360921,2,0.21690752009071682,0
2018,876662,1,0.11570260163917054,0
2012,761984,2,0.2631515411626405,1
2013,135260,2,0.191437420536381,0
2010,201226,1,0.21432810583299863,0
2019,1057166,2,0.18615457263849347,0
2013,755389,1,0.1392844417517879,0
2016,1210481,3,0.4285726735694754,1
2012,971593,1,0.1621098987550753,0
2012,602975,1,0.2040707488950828,0
2014,789451,1,0.16459412615251984,0
2014,1270535,2,0.2636349782573297,1
2011,1225469,1,0.1250135689524599,0
2010,138868,1,0.17498231682425347,0
2016,1374702,2,0.1384803757222935,0
2010,306451,1,0.12621495819066836,0
2010,226745,1,0.24217959348562745,0
2011,185694,2,0.21534692179688197,0
2013,1192794,2,0.14304909644060196,0
2010,144371,1,0.21323999604956848,0
2009,595619,1,0.14174927015517008,0
2016,673955,2,0.14612643309492235,0
2011,865715,1,0.1750208901051059,0
2012,762993,1,0.155244412625494,0
2018,857202,1,0.13374848491530414,0
2014,671005,1,0.13719951914104236,0
2019,242308,2,0.17801683190320983,0
2012,231599,2,0.10125651985394862,0
2014,345289,1,0.24710609069183972,0
2017,130643,1,0.24175657702253878,0
2019,623119,2,0.17384426665551236,0
2016,813013,2,0.3103498226071311,1
2019,932365,1,0.14726594723987171,0
2009,314142,1,0.2201163637923687,0
2017,868016,4,0.13647824917730755,0
2009,798315,1,0.11140938384656665,0
