iter	PRAUC	Logloss
0	0.4703764212	0.6795439104
1	0.5105056532	0.6677616574
2	0.5194974377	0.6586825773
3	0.5315098775	0.6489117069
4	0.547948672	0.6407839275
5	0.5499468497	0.6326973727
6	0.5509976397	0.6245908072
7	0.5540515319	0.617274832
8	0.5553365661	0.6104348642
9	0.555128075	0.6057154874
10	0.5532531641	0.5991289198
11	0.552692179	0.5944374899
12	0.5587654954	0.5913416942
13	0.5592170834	0.5876991956
14	0.5644801396	0.5836036927
15	0.5635492069	0.5797510314
16	0.5627114748	0.5768768861
17	0.568117303	0.574511417
18	0.5721921716	0.5724763435
19	0.5877041615	0.5698485235
20	0.590240934	0.5660739862
21	0.5933261893	0.5633583813
22	0.5944820896	0.5614674218
23	0.5942982744	0.5585824691
24	0.5943743809	0.5570782418
25	0.5942426958	0.5548068092
26	0.599661123	0.5524647046
27	0.6004701036	0.5503058618
28	0.5999661105	0.5487923112
29	0.6113917964	0.5459675822
30	0.6119772833	0.5446341954
31	0.6120377915	0.5436865609
32	0.61720746	0.5424309516
33	0.6253951062	0.5402659793
34	0.6281363291	0.5385351563
35	0.6289994599	0.5372811225
36	0.6310151954	0.535452367
37	0.6318521848	0.5347205891
38	0.6332041967	0.5335805656
39	0.6331034293	0.5321459285
40	0.6335557388	0.5309812714
41	0.6322832028	0.5306151468
42	0.6320568574	0.5293038303
43	0.6346279687	0.528584865
44	0.6401884005	0.5271908085
45	0.6411644432	0.5262043122
46	0.6430900033	0.5251455347
47	0.6449688401	0.5244574091
48	0.6459883349	0.5235645089
49	0.6478978005	0.5222786197
50	0.6465767126	0.5213386116
51	0.6478552205	0.5207662876
52	0.6493196274	0.5200740738
53	0.6521336609	0.5189377841
54	0.6540789019	0.5181441494
55	0.6593329809	0.5165884735
56	0.6591307874	0.5154792928
57	0.661455924	0.5143700379
58	0.662564284	0.5137442368
59	0.6633426152	0.5130076405
60	0.6626584024	0.5120411038
61	0.663036803	0.5111896581
62	0.6642152426	0.5104288301
63	0.664836798	0.5096583804
64	0.6652027027	0.5089484154
65	0.6676909192	0.507615972
66	0.672474452	0.506168681
67	0.6748995955	0.5050130789
68	0.6758743607	0.5042977496
69	0.6757273883	0.503597059
70	0.6759359106	0.503005527
71	0.678656314	0.5020485839
72	0.6792375547	0.5016283188
73	0.6789637464	0.5015796419
74	0.6812633186	0.5008054155
75	0.682880251	0.4999600362
76	0.6850414786	0.4990152927
77	0.6863969381	0.4982657329
78	0.6871100336	0.4977409599
79	0.6931250524	0.4961922726
80	0.6936312227	0.4954107326
81	0.6956553945	0.4947084112
82	0.6981352945	0.4937148827
83	0.6988601733	0.4933267462
84	0.699750404	0.4925730968
85	0.7010273368	0.4915116733
86	0.7023072221	0.4907776989
87	0.7028355394	0.4899448418
88	0.7049107411	0.4888978939
89	0.7077527295	0.4876553065
90	0.7104539829	0.4868525249
91	0.7115045747	0.4860781824
92	0.71434225	0.4853047493
93	0.71527991	0.4847807516
94	0.7178799516	0.4835830616
95	0.7182505619	0.4829262669
96	0.7192232328	0.4822759657
97	0.7200518022	0.4818669493
98	0.7212895142	0.480969206
99	0.7225955296	0.4805663065
