iter	Passed	Remaining
0	1	807
1	3	780
2	4	724
3	5	717
4	7	718
5	8	716
6	10	721
7	11	721
8	13	720
9	14	719
10	16	715
11	17	711
12	18	710
13	20	714
14	21	710
15	23	710
16	24	709
17	26	709
18	27	703
19	29	704
20	31	727
21	33	732
22	36	750
23	39	788
24	42	811
25	44	814
26	46	821
27	48	816
28	49	810
29	51	805
30	52	800
31	54	798
32	57	808
33	59	810
34	61	811
35	62	808
36	64	811
37	66	807
38	68	807
39	70	806
40	71	802
41	73	798
42	74	793
43	76	789
44	77	785
45	79	780
46	80	776
47	82	773
48	83	769
49	85	769
50	87	770
51	89	771
52	91	767
53	92	763
54	93	760
55	95	756
