iter	PRAUC	Logloss
0	0.4889961367	0.6854037199
1	0.5257074934	0.6785982319
2	0.5246504338	0.6722975675
3	0.5402716003	0.6661031892
4	0.557181059	0.6596566515
5	0.5616052674	0.6536743686
6	0.5684391882	0.6478475762
7	0.577302449	0.642353857
8	0.5755168276	0.6369676286
9	0.5714744601	0.6325571663
10	0.5700604867	0.6274475624
11	0.5699277095	0.6239235716
12	0.5714412584	0.6211796855
13	0.5699080636	0.6173767288
14	0.5750928409	0.6140883544
15	0.5737395625	0.6100785304
16	0.5723621096	0.6065648512
17	0.5716887773	0.6035112411
18	0.5757232326	0.6013675199
19	0.5790181694	0.5986488656
20	0.5785635759	0.5955857106
21	0.5789358166	0.5927864293
22	0.5793733324	0.5911861708
23	0.5800798445	0.5882128486
24	0.5822532758	0.5864322146
25	0.5830749051	0.5835464615
26	0.5860351481	0.5813886879
27	0.5856529547	0.5798101361
28	0.585655532	0.5779747841
29	0.5846562099	0.5762220757
30	0.5869343246	0.5744728129
31	0.5869695847	0.5732988614
32	0.5881409599	0.5722200475
33	0.5903239035	0.5706538421
34	0.5996746187	0.5686791936
35	0.5974099114	0.5677720144
36	0.5993131453	0.5661368701
37	0.6009017424	0.5649079659
38	0.6010810759	0.5634607595
39	0.6006244245	0.561813756
40	0.6016919944	0.5603249802
41	0.6014734392	0.559730775
42	0.6014024298	0.558201799
43	0.6011750586	0.5574681348
44	0.6012064752	0.5561997958
45	0.6012610881	0.5548383203
46	0.6019015398	0.5540759195
47	0.601646171	0.5531266945
48	0.6061386845	0.5519886835
49	0.6059056849	0.5510342603
50	0.6070607954	0.5501202351
51	0.6078905156	0.5492707225
52	0.6073444038	0.5484141415
53	0.6076011419	0.5473687332
54	0.6073746194	0.5466418943
55	0.6086905579	0.5456763455
56	0.6097509455	0.5446841908
57	0.6120600074	0.5437351284
58	0.6124981773	0.5427450184
59	0.6136328514	0.5418317703
60	0.6152053576	0.5408646807
61	0.6145525213	0.5401545584
62	0.6154918539	0.5389615107
63	0.6182547759	0.5379936749
64	0.6181110038	0.5373809092
65	0.6193719949	0.5366449795
66	0.6198265593	0.535998509
67	0.6205418684	0.53523475
68	0.6213048585	0.534321055
69	0.6244568933	0.5335676335
70	0.6254960013	0.5326888977
71	0.6248483518	0.5322503428
72	0.6247482392	0.5316535433
73	0.626030705	0.531065488
74	0.626402203	0.5300914324
75	0.627595514	0.52961625
76	0.6287095663	0.5289797416
77	0.6296448711	0.528490791
78	0.6297864629	0.5275078866
79	0.6305060698	0.5268407308
80	0.630980747	0.526441337
81	0.6314516129	0.5258376185
82	0.6332304389	0.5252353001
83	0.6368066464	0.5243731414
84	0.6409886554	0.5238126669
85	0.6424086385	0.5232406894
86	0.6425178317	0.5227276449
87	0.6450367967	0.5222727289
88	0.6458825041	0.5217430282
89	0.6482169609	0.5210051199
90	0.6491439641	0.5203491111
91	0.6492138043	0.5200844506
92	0.651776661	0.519341486
93	0.6521891037	0.518814793
94	0.6544187683	0.518283256
95	0.6540498431	0.5178200072
96	0.6540454606	0.5174944181
97	0.6565120136	0.5168363421
98	0.6575042339	0.5162161608
99	0.6578033202	0.5158329706
100	0.6583480113	0.5151843972
101	0.6577514449	0.5149322403
