iter	Passed	Remaining
0	1	876
1	3	828
2	4	767
3	6	772
4	7	771
5	9	768
6	10	768
7	12	774
8	14	771
9	15	768
10	17	767
11	18	767
12	20	765
13	22	768
14	23	762
15	25	763
16	26	757
17	28	756
18	29	755
19	31	754
20	33	755
21	34	756
22	36	756
23	38	755
24	39	755
25	41	751
26	42	751
27	44	754
28	46	753
29	47	751
30	49	751
31	51	750
32	52	748
33	54	747
34	55	743
35	57	742
36	59	740
37	60	739
38	62	736
39	63	735
40	65	735
41	67	732
42	68	729
43	70	727
44	71	724
45	73	721
46	74	718
47	75	715
48	77	712
49	78	710
50	80	708
51	81	705
52	83	701
53	84	699
54	86	696
55	87	692
56	88	689
57	90	686
58	91	684
59	92	681
60	94	680
61	96	680
62	97	678
63	99	676
64	100	674
65	102	672
66	103	670
67	105	668
68	106	665
69	107	663
70	109	660
71	110	658
72	112	656
73	113	651
74	114	649
75	116	647
76	117	645
77	118	643
78	120	640
79	121	638
80	123	636
81	124	634
82	125	632
83	127	631
84	128	629
85	130	626
86	131	624
87	133	622
88	134	621
89	135	619
90	137	617
91	138	615
92	140	616
93	142	614
94	143	613
95	145	611
96	146	609
97	148	607
98	149	605
99	151	604
100	152	602
101	153	600
102	155	599
103	157	598
104	158	597
105	160	595
106	161	592
107	162	590
108	164	588
109	165	586
110	166	584
111	168	582
112	169	581
113	171	579
114	172	577
115	174	576
116	175	574
117	176	572
118	178	571
119	179	569
120	181	567
121	182	566
122	184	564
123	186	566
124	188	565
125	190	564
126	191	563
127	193	562
128	195	562
129	197	560
130	198	558
131	199	555
132	200	554
133	202	553
134	204	551
135	205	550
136	206	547
137	208	546
138	209	545
139	211	543
140	212	541
141	214	539
142	215	538
143	217	537
144	219	536
145	220	534
146	222	533
147	223	532
148	225	530
149	226	529
150	228	527
151	229	526
152	231	524
153	232	523
154	234	522
155	236	520
156	237	519
157	239	518
158	240	516
159	242	515
160	244	514
161	245	513
162	247	511
163	249	510
164	250	508
165	252	507
166	253	506
167	255	504
168	256	503
169	258	502
170	260	500
171	261	499
172	263	497
173	264	496
174	266	494
175	268	493
176	269	491
177	271	490
178	272	488
179	274	487
180	275	486
181	277	485
182	279	483
183	281	482
184	282	481
185	284	479
186	285	478
187	287	476
188	288	475
189	290	473
190	292	472
191	293	471
192	295	469
193	297	468
194	298	466
195	300	465
196	301	463
197	302	461
198	304	460
199	305	458
200	307	457
201	308	455
202	310	453
203	311	452
204	313	450
205	314	448
206	315	447
207	317	445
208	318	443
209	320	442
210	321	440
211	323	439
212	324	437
213	326	436
214	328	434
215	329	433
216	331	431
217	332	430
218	334	428
219	335	427
220	337	426
221	339	424
222	340	423
223	342	422
224	344	420
225	345	418
226	346	417
227	348	415
228	349	413
229	351	412
230	352	410
231	354	409
232	355	407
233	357	406
234	359	405
235	360	403
236	362	402
237	363	400
238	365	399
239	366	397
240	368	395
241	369	394
242	371	392
243	372	391
244	374	389
245	375	387
246	377	386
247	378	384
248	380	383
249	381	381
250	382	379
251	384	378
252	385	376
253	387	375
254	388	373
255	390	371
256	391	370
257	393	368
258	394	367
259	396	365
260	397	363
261	398	362
262	400	360
263	401	359
264	403	357
265	404	355
266	405	354
267	407	352
268	409	351
269	410	349
270	411	348
271	413	346
272	414	344
273	416	343
274	417	341
275	419	340
276	420	338
277	422	337
278	423	335
279	425	333
280	426	332
281	427	330
282	429	329
283	430	327
284	432	325
285	433	324
286	434	322
287	436	321
288	437	319
289	439	317
290	440	316
291	441	314
292	443	313
293	444	311
294	446	310
295	447	308
296	448	306
297	450	305
298	451	303
299	453	302
300	454	300
301	456	299
302	457	297
303	459	296
304	460	294
305	462	292
306	463	291
307	464	289
308	466	288
309	467	286
310	469	285
311	470	283
312	472	282
313	473	280
314	475	279
315	476	277
316	478	276
317	479	274
318	481	272
319	482	271
320	483	269
321	485	268
322	486	266
323	488	265
324	489	263
325	490	261
326	492	260
327	493	258
328	495	257
329	496	255
330	497	254
331	499	252
332	500	250
333	501	249
334	503	247
335	504	246
336	506	244
337	507	243
338	508	241
339	510	240
340	511	238
341	513	237
342	514	235
343	516	234
344	517	232
345	519	231
346	520	229
347	521	227
348	523	226
349	524	224
350	526	223
351	527	221
352	529	220
353	530	218
354	532	217
355	533	215
356	534	214
357	536	212
358	537	211
359	539	209
360	540	208
361	541	206
362	543	205
363	544	203
364	546	202
365	547	200
366	549	198
367	550	197
368	551	195
369	553	194
370	554	192
371	556	191
372	557	189
373	559	188
374	560	186
375	561	185
376	563	183
377	564	182
378	566	180
379	567	179
380	569	177
381	570	176
382	571	174
383	573	173
384	574	171
385	576	170
386	577	168
387	579	167
388	580	165
389	582	164
390	583	162
391	584	161
392	586	159
393	587	158
394	589	156
395	590	155
396	592	153
397	593	152
398	594	150
399	596	149
400	597	147
401	599	146
402	600	144
403	602	143
404	603	141
405	605	140
406	606	138
407	608	137
408	609	135
409	611	134
410	612	132
411	613	131
412	615	129
413	616	128
414	618	126
415	619	125
416	621	123
417	622	122
418	623	120
419	625	119
420	626	117
421	628	116
422	629	114
423	631	113
424	633	111
425	634	110
426	636	108
427	637	107
428	639	105
429	641	104
430	642	102
431	644	101
432	645	99
433	647	98
434	648	96
435	650	95
436	651	93
437	653	92
438	655	91
439	656	89
440	658	88
441	659	86
442	661	85
443	662	83
444	664	82
445	666	80
446	667	79
447	669	77
448	670	76
449	672	74
450	674	73
451	675	71
452	677	70
453	678	68
454	680	67
455	682	65
456	683	64
457	685	62
458	686	61
459	687	59
460	689	58
461	690	56
462	692	55
463	694	53
464	695	52
465	697	50
466	698	49
467	700	47
468	701	46
469	703	44
470	705	43
471	706	41
472	708	40
473	709	38
474	710	37
475	712	35
476	713	34
477	715	32
478	716	31
479	718	29
480	719	28
481	720	26
482	722	25
483	723	23
484	725	22
485	726	20
486	728	19
487	729	17
488	730	16
489	732	14
490	733	13
491	735	11
492	736	10
493	738	8
494	739	7
495	740	5
496	742	4
497	743	2
498	745	1
499	746	0
